text,label,text_indonesia
i didnt feel humiliated,0,saya tidak rasa malu
i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,0,saya bisa alih dari asa begitu putus asa jadi sangat penuh harap hanya dari ada di sekitar orang yang peduli dan bangun
im grabbing a minute to post i feel greedy wrong,3,saya raih satu menit untuk memposting saya rasa salah
i am ever feeling nostalgic about the fireplace i will know that it is still on the property,2,saya pernah rasa nostalgia tentang api yang saya akan tahu bahwa itu masih ada di properti
i am feeling grouchy,3,saya rasa grouchy
ive been feeling a little burdened lately wasnt sure why that was,0,saya rasa sedikit beban akhir akhir ini tidak yakin mengapa itu jadi
ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,5,saya telah ambil atau miligram atau waktu yang rekomendasi dalam jumlah dan saya tidur lebih cepat tetapi saya juga rasa sangat lucu
i feel as confused about life as a teenager or as jaded as a year old man,4,saya rasa bingung tentang hidup saat remaja atau letih seperti pria usia satu tahun
i have been with petronas for years i feel that petronas has performed well and made a huge profit,1,saya telah sama petronas lama tahun tahun saya rasa bahwa petronas telah kerja baik dan dapat untung besar
i feel romantic too,2,saya rasa romantis juga
i feel like i have to make the suffering i m seeing mean something,0,saya rasa harus buat derita yang saya lihat arti sesuatu
i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,1,saya rasa bahwa lari adalah alam ilahi dan bahwa saya dapat harap milik beberapa jenis temu spiritual
i think it s the easiest time of year to feel dissatisfied,3,saya pikir ini adalah waktu mudah tahun untuk rasa tidak puas
i feel low energy i m just thirsty,0,saya rasa energi rendah saya hanya haus
i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1,saya milik simpati yang luar biasa dengan titik umum tetapi bagai orang tulis proto yang mungkin coba temu waktu untuk tulis di sudut sudut hidup dan tanpa tanda tanda agen apalagi kontrak terbit ini asa sedikit harga
i do not feel reassured anxiety is on each side,1,saya tidak rasa cemas yang yakin ada di tiap sisi
